,year,name,milliseconds,time_minutes
2,2006,Monaco Grand Prix,81079.02310654685,01:21.079
6,2007,Monaco Grand Prix,79119.62926509186,01:19.119
10,2008,Monaco Grand Prix,96772.89366692728,01:36.772
1,2006,Italian Grand Prix,86428.36257309941,01:26.428
5,2007,Italian Grand Prix,90796.26836158193,01:30.796
9,2008,Italian Grand Prix,99650.07403751234,01:39.650
0,2006,British Grand Prix,87877.31441860466,01:27.877
4,2007,British Grand Prix,85536.03333333334,01:25.536
8,2008,British Grand Prix,100905.51908396947,01:40.905
3,2007,Belgian Grand Prix,112448.35058823529,01:52.448
7,2008,Belgian Grand Prix,114505.9312039312,01:54.505
